2	3	3	2	301	2
3	3	2	2	301	3
4	3	3	3	301	4
2	2	2	2	301	5
2	2	1	2	301	6
2	2	1	2	301	7
2	2	2	2	301	8
2	3	2	2	301	9
3	3	3	3	301	10
3	3	.	1	309	1
3	3	3	3	309	2
3	3	3	1	309	3
3	1	3	1	309	4
1	1	1	1	309	5
3	1	1	1	309	6
1	1	3	1	309	7
1	1	1	1	309	8
1	1	1	1	309	9
1	1	1	1	309	10
3	2	2	2	319	1
.	.	.	.	319	2
3	2	2	2	319	3
3	3	3	2	319	4
.	.	.	.	319	5
2	1	2	2	319	6
2	1	1	1	319	7
2	2	2	2	319	8
.	.	.	.	319	9
3	3	3	3	319	10
4	5	4	2	337	1
3	4	3	3	337	2
3	4	3	2	337	3
3	3	2	2	337	4
.	.	.	.	337	5
3	2	2	3	337	6
3	3	2	1	337	7
3	3	2	2	337	8
3	3	4	2	337	9
4	4	4	3	337	10
3	1	1	1	351	1
3	1	1	1	351	2
2	1	1	1	351	3
2	2	1	1	351	4
2	1	1	1	351	5
3	2	1	1	351	6
3	1	1	1	351	7
3	2	1	1	351	8
2	1	1	1	351	9
3	1	1	1	351	10
3	4	3	3	357	1
3	2	3	2	357	2
4	.	.	2	357	3
2	2	2	2	357	4
2	2	2	2	357	5
2	2	2	2	357	6
2	2	2	2	357	7
2	3	2	2	357	8
2	2	2	1	357	9
2	2	2	2	357	10
3	5	4	3	363	1
3	5	3	1	363	2
3	5	3	1	363	3
5	5	5	1	363	4
3	4	4	1	363	5
3	5	4	2	363	6
3	4	2	2	363	7
2	5	1	.	363	8
1	5	3	2	363	9
3	5	5	2	363	10
3	2	2	1	375	1
3	4	4	3	375	2
2	2	2	2	375	3
4	4	4	4	375	4
2	4	3	3	375	5
3	3	3	3	375	6
3	3	3	3	375	7
3	3	3	3	375	8
4	4	4	4	375	9
4	4	4	4	375	10
4	4	4	3	383	1
3	3	3	2	383	2
3	2	2	2	383	3
3	2	2	2	383	4
2	2	2	2	383	5
2	2	1	1	383	6
3	3	3	2	383	7
2	2	1	2	383	8
2	2	2	3	383	9
2	1	1	1	383	10
1	4	2	4	387	1
2	2	2	2	387	2
3	2	2	3	387	3
2	2	2	3	387	4
2	2	2	4	387	5
2	3	1	4	387	6
.	2	1	3	387	7
.	.	.	.	387	8
.	2	1	3	387	9
.	.	.	.	387	10
4	3	.	3	391	1
4	5	4	3	391	2
4	4	5	4	391	3
4	4	3	2	391	4
3	4	4	3	391	5
4	4	4	4	391	6
4	5	4	3	391	7
4	5	5	4	391	8
4	4	4	3	391	9
4	5	4	5	391	10
3	3	3	3	393	1
.	.	.	.	393	2
4	3	3	4	393	3
.	.	.	.	393	4
3	3	3	3	393	5
4	4	4	4	393	6
3	3	3	3	393	7
5	5	5	4	393	8
.	4	4	3	393	9
5	5	5	5	393	10
2	3	1	1	399	1
2	3	3	3	399	2
2	3	1	2	399	3
2	2	1	1	399	4
2	3	2	1	399	5
.	2	1	2	399	6
3	4	2	3	399	7
2	3	2	2	399	8
2	3	3	2	399	9
3	3	2	1	399	10
4	4	4	4	401	1
2	4	4	4	401	2
4	4	4	4	401	3
3	3	3	3	401	4
3	3	3	3	401	5
2	3	2	2	401	6
2	2	2	2	401	7
3	3	3	3	401	8
3	3	3	3	401	9
3	3	3	3	401	10
3	3	4	3	405	1
2	3	2	2	405	2
2	3	2	2	405	3
3	1	2	2	405	4
3	3	3	2	405	5
2	2	2	2	405	6
4	3	3	3	405	7
2	3	2	1	405	8
.	.	.	.	405	9
.	.	.	.	405	10
1	3	3	3	409	1
2	3	2	3	409	2
1	3	1	2	409	3
2	3	2	2	409	4
1	3	1	1	409	5
2	3	1	1	409	6
2	3	1	3	409	7
1	3	1	3	409	8
2	3	1	3	409	9
1	3	1	3	409	10
2	4	3	2	411	1
3	3	3	2	411	2
2	3	3	1	411	3
3	4	3	3	411	4
3	4	2	1	411	5
1	4	2	2	411	6
1	4	2	1	411	7
.	.	.	.	411	8
1	4	1	1	411	9
1	4	1	2	411	10
2	3	3	2	421	1
.	.	.	.	421	2
2	2	1	1	421	3
4	4	4	3	421	4
3	3	3	2	421	5
2	2	1	1	421	6
2	3	3	3	421	7
4	3	3	3	421	8
.	.	.	.	421	9
4	3	.	4	421	10
2	5	5	1	423	1
.	.	.	.	423	2
1	4	2	1	423	3
.	.	.	.	423	4
.	.	.	.	423	5
4	4	2	.	423	6
2	3	2	1	423	7
3	2	2	1	423	8
2	2	1	1	423	9
2	2	1	1	423	10
4	3	3	3	431	1
4	3	3	3	431	2
4	3	3	3	431	3
4	3	3	3	431	4
4	3	2	3	431	5
4	3	4	5	431	6
3	3	1	1	431	7
4	3	1	3	431	8
4	3	3	3	431	9
4	3	4	3	431	10
2	2	3	3	433	1
3	3	2	2	433	2
3	3	3	2	433	3
3	3	3	3	433	4
3	3	3	3	433	5
3	3	3	3	433	6
3	3	3	3	433	7
3	3	3	3	433	8
3	3	3	3	433	9
3	3	3	3	433	10
3	4	4	3	439	1
2	3	3	3	439	2
3	4	3	3	439	3
3	4	3	3	439	4
3	4	3	2	439	5
3	4	2	2	439	6
4	4	4	4	439	7
3	4	2	3	439	8
3	4	1	2	439	9
3	4	2	2	439	10
5	5	5	5	441	1
5	5	3	4	441	2
